Date,Event,Treatment,Bin,Site,Species,Anemone_ID,Width,Length,Diagonal,Average_Diameter
31-Oct,Initial,25C,A,Foreshore,Aggregating ,A25F,16.6,25.3,27.2,23.03
31-Oct,Initial,25C,A,Bluestone,Aggregating ,A47B,14,17,16.2,15.73
31-Oct,Initial,25C,A,Bluestone,Aggregating ,A55B,21.3,20.5,21.3,21.03
31-Oct,Initial,25C,B,Foreshore,Aggregating ,A6F,21.1,40,29.5,30.2
31-Oct,Initial,25C,B,Foreshore,Aggregating ,A15F,17.7,20,14.5,17.4
31-Oct,Initial,25C,B,Scotts,Aggregating ,A42S,19.4,20.4,19,19.6
31-Oct,Initial,25C,C,Scotts,Aggregating ,A30S,19,23.5,14.6,19.03
31-Oct,Initial,25C,C,Bluestone,Aggregating ,A44B,13.5,24.1,20,19.2
31-Oct,Initial,25C,C,Bluestone,Aggregating ,A46B,28.1,38.2,35.3,33.87
31-Oct,Initial,25C,D,Foreshore,Aggregating ,A13F,22.3,22,22,22.1
31-Oct,Initial,25C,D,Foreshore,Aggregating ,A16F,23.3,34.5,25.3,27.7
31-Oct,Initial,25C,D,Scotts,Aggregating ,A41S,21.9,30.1,27.6,26.53
31-Oct,Initial,25C,E,Scotts,Aggregating ,A28S,21,26.2,16.4,21.2
31-Oct,Initial,25C,E,Scotts,Aggregating ,A35S,10.5,20,16.6,15.7
31-Oct,Initial,25C,E,Bluestone,Aggregating ,A49B,16,30.4,26.2,24.2
31-Oct,Initial,30C,F,Foreshore,Aggregating ,A4F,11.2,21,19.5,17.23
31-Oct,Initial,30C,F,Foreshore,Aggregating ,A26F,15.3,27,21.3,21.2
31-Oct,Initial,30C,F,Scotts,Aggregating ,A34S,26.1,38,44.5,36.2
31-Oct,Initial,30C,G,Foreshore,Aggregating ,A14F,15.3,22,21.1,19.47
31-Oct,Initial,30C,G,Bluestone,Aggregating ,A45B,10.6,24,20.1,18.23
31-Oct,Initial,30C,G,Bluestone,Aggregating ,A56B,16,32.3,32.1,26.8
31-Oct,Initial,30C,H,Foreshore,Aggregating ,A22F,19,15,18.1,17.37
31-Oct,Initial,30C,H,Scotts,Aggregating ,A37S,19.3,42,29.9,30.4
31-Oct,Initial,30C,H,Bluestone,Aggregating ,A51B,NA,NA,NA,NA
31-Oct,Initial,30C,I,Scotts,Aggregating ,A38S,27.9,33.4,21,27.43
31-Oct,Initial,30C,I,Bluestone,Aggregating ,A50B,19.7,33.2,25.4,26.1
31-Oct,Initial,30C,I,Bluestone,Aggregating ,A60B,27.2,32,29.7,29.63
31-Oct,Initial,30C,J,Foreshore,Aggregating ,A1F,20.6,27.6,23.4,23.87
31-Oct,Initial,30C,J,Foreshore,Aggregating ,A5F,19,26.4,17.4,20.93
31-Oct,Initial,30C,J,Foreshore,Aggregating ,A23F,17.4,27.2,24.2,22.93
31-Oct,Initial,Control,K,Foreshore,Aggregating ,A18F,18,29.1,23.4,23.5
31-Oct,Initial,Control,K,Foreshore,Aggregating ,A19F,18,21.2,20.4,19.87
31-Oct,Initial,Control,K,Scotts,Aggregating ,A39S,13,40.7,22.7,25.47
31-Oct,Initial,Control,L,Foreshore,Aggregating ,A3F,19.3,23,21.3,21.2
31-Oct,Initial,Control,L,Foreshore,Aggregating ,A12F,21,34.1,31.1,28.73
31-Oct,Initial,Control,L,Bluestone,Aggregating ,A57B,16.1,24.3,19,19.8
31-Oct,Initial,Control,M,Foreshore,Aggregating ,A24F,17.2,33.5,23.6,24.77
31-Oct,Initial,Control,M,Bluestone,Aggregating ,A43B,17.3,16.3,14,15.87
31-Oct,Initial,Control,M,Bluestone,Aggregating ,A59B,12.6,37.3,22,23.97
31-Oct,Initial,Control,N,Foreshore,Aggregating ,A2F,14.3,43.4,24,27.23
31-Oct,Initial,Control,N,Foreshore,Aggregating ,A10F,26.2,21,20.1,22.43
31-Oct,Initial,Control,N,Scotts,Aggregating ,A29S,17.3,27.3,21,21.87
31-Oct,Initial,Control,O,Foreshore,Aggregating ,A21F,27.2,34.2,37.5,32.97
31-Oct,Initial,Control,O,Scotts,Aggregating ,A27S,17.7,20.9,24,20.87
31-Oct,Initial,Control,O,Bluestone,Aggregating ,A54B,20.4,27.2,22.8,23.47
05-Nov,Before heatwave,25C,A,Foreshore,Aggregating ,A25F,14.7,22.6,21.5,19.6
05-Nov,Before heatwave,25C,A,Bluestone,Aggregating ,A47B,13.7,19.4,16.3,16.47
05-Nov,Before heatwave,25C,A,Bluestone,Aggregating ,A55B,NA,NA,NA,NA
05-Nov,Before heatwave,25C,B,Foreshore,Aggregating ,A6F,19,23.4,20.5,20.97
05-Nov,Before heatwave,25C,B,Foreshore,Aggregating ,A15F,21.7,24.3,20.6,22.2
05-Nov,Before heatwave,25C,B,Scotts,Aggregating ,A42S,NA,NA,NA,NA
05-Nov,Before heatwave,25C,C,Scotts,Aggregating ,A30S,14.1,31.3,20.6,22
05-Nov,Before heatwave,25C,C,Bluestone,Aggregating ,A44B,17.2,21.7,23.7,20.87
05-Nov,Before heatwave,25C,C,Bluestone,Aggregating ,A46B,18,43,30.9,30.63
05-Nov,Before heatwave,25C,D,Foreshore,Aggregating ,A13F,19,20.5,22.3,20.6
05-Nov,Before heatwave,25C,D,Foreshore,Aggregating ,A16F,19.8,22.5,20.3,20.87
05-Nov,Before heatwave,25C,D,Scotts,Aggregating ,A41S,17.2,35.6,26.7,26.5
05-Nov,Before heatwave,25C,E,Scotts,Aggregating ,A28S,21.9,21.8,22.8,22.17
05-Nov,Before heatwave,25C,E,Scotts,Aggregating ,A35S,11.6,21.4,21.7,18.23
05-Nov,Before heatwave,25C,E,Bluestone,Aggregating ,A49B,15.2,32.4,20,22.53
05-Nov,Before heatwave,30C,F,Foreshore,Aggregating ,A4F,16.3,22.4,18,18.9
05-Nov,Before heatwave,30C,F,Foreshore,Aggregating ,A26F,21.1,27,23.5,23.87
05-Nov,Before heatwave,30C,F,Scotts,Aggregating ,A34S,18,26.8,27.7,24.17
05-Nov,Before heatwave,30C,G,Foreshore,Aggregating ,A14F,17.7,14.2,16.2,16.03
05-Nov,Before heatwave,30C,G,Bluestone,Aggregating ,A45B,16,25.4,16.3,19.23
05-Nov,Before heatwave,30C,G,Bluestone,Aggregating ,A56B,31.3,32.7,30.9,31.63
05-Nov,Before heatwave,30C,H,Foreshore,Aggregating ,A22F,14.6,26.8,25.3,22.23
05-Nov,Before heatwave,30C,H,Scotts,Aggregating ,A37S,24.1,37.3,27.9,29.77
05-Nov,Before heatwave,30C,H,Bluestone,Aggregating ,A51B,23.1,29.3,29.7,27.37
05-Nov,Before heatwave,30C,I,Scotts,Aggregating ,A38S,8,30.3,23.6,20.63
05-Nov,Before heatwave,30C,I,Bluestone,Aggregating ,A50B,14,25.1,30,23.03
05-Nov,Before heatwave,30C,I,Bluestone,Aggregating ,A60B,20.1,32.5,28,26.87
05-Nov,Before heatwave,30C,J,Foreshore,Aggregating ,A1F,20.3,36.4,28,28.23
05-Nov,Before heatwave,30C,J,Foreshore,Aggregating ,A5F,16.8,20.4,20.3,19.17
05-Nov,Before heatwave,30C,J,Foreshore,Aggregating ,A23F,14.4,30.6,25.3,23.43
05-Nov,Before heatwave,Control,K,Foreshore,Aggregating ,A18F,18.8,23.7,18.6,20.37
05-Nov,Before heatwave,Control,K,Foreshore,Aggregating ,A19F,21.5,20.3,21.4,21.07
05-Nov,Before heatwave,Control,K,Scotts,Aggregating ,A39S,24.4,25.7,25.4,25.17
05-Nov,Before heatwave,Control,L,Foreshore,Aggregating ,A3F,10.6,33.7,17.5,20.6
