Date,Treatment,Bin,Site,Anemone_ID,Tentacle_Mass_g,Number_Dino_1,Number_Dino_2,Number_Dino_3,Number_Green_1,Number_Green_2,Number_Green_3,Dividing_Dino_1,Dividing_Dino_2,Dividing_Dino_3,Dividing_Green_1,Dividing_Green_2,Dividing_Green_3,Number_Dino_Average,Number_Green_Average,Dividing_Dino_Average,Dividing_Green_Average
10/31/2021,Control,N,Foreshore,A10F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,Control,N,Foreshore,A10F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,Control,N,Foreshore,A10F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,Control,N,Foreshore,A10F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,Control,L,Foreshore,A12F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,Control,L,Foreshore,A12F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,Control,L,Foreshore,A12F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,Control,L,Foreshore,A12F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,25C,D,Foreshore,A13F,0.0111,113,102,91,0,1,0,3,1,0,0,0,0,102,0.333333333,1.333333333,0
11/5/2021,25C,D,Foreshore,A13F,0.018,135,100,121,0,0,1,2,4,3,0,0,0,118.6666667,0.333333333,3,0
11/9/2021,25C,D,Foreshore,A13F,0.0039,41,41,23,0,2,0,1,0,0,0,0,0,35,0.666666667,0.333333333,0
11/13/2021,25C,D,Foreshore,A13F,0.0114,54,53,68,0,0,0,2,1,2,0,0,0,58.33333333,0,1.666666667,0
10/31/2021,30C,G,Foreshore,A14F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,30C,G,Foreshore,A14F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,30C,G,Foreshore,A14F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,30C,G,Foreshore,A14F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,25C,B,Foreshore,A15F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,25C,B,Foreshore,A15F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,25C,B,Foreshore,A15F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,25C,B,Foreshore,A15F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,25C,D,Foreshore,A16F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/5/2021,25C,D,Foreshore,A16F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/9/2021,25C,D,Foreshore,A16F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
11/13/2021,25C,D,Foreshore,A16F,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10/31/2021,Control,K,Foreshore,A18F,0.006,152,222,146,1,2,1,2,4,3,0,0,0,173.3333333,1.333333333,3,0
