Date,Time,Time_Block,Event,Site,Anemone_ID,Treatment,Bin,Open_Closed,Bucket_Temp,Out_Temp
11/6/2021,9:48,0,Heatwave Day 1,Foreshore,A25F,25C,A,Open,12,13
11/6/2021,9:48,0,Heatwave Day 1,Bluestone,A47B,25C,A,Open,12,13
11/6/2021,9:48,0,Heatwave Day 1,Bluestone,A55B,25C,A,Open,12,13
11/6/2021,9:50,0,Heatwave Day 1,Foreshore,A15F,25C,B,Open,12,13
11/6/2021,9:50,0,Heatwave Day 1,Scotts,A42S,25C,B,Open,12,13
11/6/2021,9:50,0,Heatwave Day 1,Foreshore,A6F,25C,B,Open,12,13
11/6/2021,9:50,0,Heatwave Day 1,Scotts,A30S,25C,C,Open,12,13
11/6/2021,9:50,0,Heatwave Day 1,Bluestone,A44B,25C,C,Open,12,13
11/6/2021,9:50,0,Heatwave Day 1,Bluestone,A46B,25C,C,Open,12,13
11/6/2021,9:50,0,Heatwave Day 1,Foreshore,A13F,25C,D,Closed,12,13
11/6/2021,9:50,0,Heatwave Day 1,Foreshore,A16F,25C,D,Partially open,12,13
11/6/2021,9:50,0,Heatwave Day 1,Scotts,A41S,25C,D,Open,12,13
11/6/2021,9:50,0,Heatwave Day 1,Scotts,A28S,25C,E,Open,12,13
11/6/2021,9:50,0,Heatwave Day 1,Scotts,A35S,25C,E,Open,12,13
11/6/2021,9:50,0,Heatwave Day 1,Bluestone,A49B,25C,E,Partially open,12,13
11/6/2021,10:02,0,Heatwave Day 1,Foreshore,A26F,30C,F,Open,12,15
11/6/2021,10:02,0,Heatwave Day 1,Scotts,A34S,30C,F,Open,12,15
11/6/2021,10:02,0,Heatwave Day 1,Foreshore,A4F,30C,F,Open,12,15
11/6/2021,10:02,0,Heatwave Day 1,Foreshore,A14F,30C,G,Open,12,15
11/6/2021,10:02,0,Heatwave Day 1,Bluestone,A45B,30C,G,Open,12,15
11/6/2021,10:02,0,Heatwave Day 1,Bluestone,A56B,30C,G,Open,12,15
11/6/2021,10:02,0,Heatwave Day 1,Foreshore,A22F,30C,H,Open,12,15
11/6/2021,10:02,0,Heatwave Day 1,Scotts,A37S,30C,H,Open,12,15
11/6/2021,10:02,0,Heatwave Day 1,Bluestone,A51B,30C,H,Open,12,15
11/6/2021,10:03,0,Heatwave Day 1,Scotts,A38S,30C,I,Open,12,15
11/6/2021,10:03,0,Heatwave Day 1,Bluestone,A50B,30C,I,Open,12,15
11/6/2021,10:03,0,Heatwave Day 1,Bluestone,A60B,30C,I,Open,12,15
11/6/2021,10:03,0,Heatwave Day 1,Foreshore,A1F,30C,J,Open,12,15
11/6/2021,10:03,0,Heatwave Day 1,Foreshore,A23F,30C,J,Open,12,15
11/6/2021,10:03,0,Heatwave Day 1,Foreshore,A5F,30C,J,Open,12,15
11/6/2021,9:51,0,Heatwave Day 1,Foreshore,A18F,Control,K,Open,12,12
11/6/2021,9:51,0,Heatwave Day 1,Foreshore,A19F,Control,K,Open,12,12
11/6/2021,9:51,0,Heatwave Day 1,Scotts,A39S,Control,K,Open,12,12
11/6/2021,9:51,0,Heatwave Day 1,Foreshore,A12F,Control,L,Open,12,12
11/6/2021,9:51,0,Heatwave Day 1,Foreshore,A3F,Control,L,Open,12,12
11/6/2021,9:51,0,Heatwave Day 1,Bluestone,A57B,Control,L,Open,12,12
11/6/2021,9:51,0,Heatwave Day 1,Foreshore,A24F,Control,M,Open,12,12
11/6/2021,9:51,0,Heatwave Day 1,Bluestone,A43B,Control,M,Open,12,12
11/6/2021,9:51,0,Heatwave Day 1,Bluestone,A59B,Control,M,Open,12,12
11/6/2021,9:51,0,Heatwave Day 1,Foreshore,A10F,Control,N,Open,12,12
11/6/2021,9:51,0,Heatwave Day 1,Scotts,A29S,Control,N,Open,12,12
11/6/2021,9:51,0,Heatwave Day 1,Foreshore,A2F,Control,N,Open,12,12
11/6/2021,9:52,0,Heatwave Day 1,Foreshore,A21F,Control,O,Open,12,12
11/6/2021,9:52,0,Heatwave Day 1,Scotts,A27S,Control,O,Open,12,12
11/6/2021,9:52,0,Heatwave Day 1,Bluestone,A54B,Control,O,Open,12,12
11/6/2021,10:51,1,Heatwave Day 1,Foreshore,A25F,25C,A,Open,16,22
11/6/2021,10:51,1,Heatwave Day 1,Bluestone,A47B,25C,A,Open,16,22
11/6/2021,10:51,1,Heatwave Day 1,Bluestone,A55B,25C,A,Open,16,22
11/6/2021,10:51,1,Heatwave Day 1,Foreshore,A15F,25C,B,Open,16,22
