Date,Type_of_Food,Site,Anemone_ID,Treatment,Bin,Feeding_Time_Min,Feeding_Time,Feeding_Start (m:s:ms),Feeding_Stop (m:s:ms)
10/28/2021,Fish,Foreshore,A1F,30C,J,1.72,1:43:00,16:22:00,18:05:00
10/28/2021,Fish,Foreshore,A6F,25C,B,5.85,5:51:00,0:13:00,6:04:00
10/28/2021,Fish,Foreshore,A10F,Control,N,4.1,4:06:00,12:57:00,17:03:00
10/28/2021,Fish,Foreshore,A23F,30C,J,1.07,1:04:00,22:43:00,23:47:00
10/28/2021,Fish,Scotts,A29S,Control,N,2.85,2:51:00,11:27:00,14:18:00
10/28/2021,Fish,Scotts,A38S,30C,I,14.55,14:33:00,5:29:00,20:02:00
10/28/2021,Fish,Scotts,A41S,25C,D,19.37,19:22:00,24:42:00,44:04:00
11/01/2021,Fish,Foreshore,A1F,30C,J,0.17,0:10:00,14:51:00,15:01:00
11/01/2021,Fish,Foreshore,A6F,25C,B,0.43,0:26:00,0:00:00,0:26:00
11/01/2021,Fish,Foreshore,A10F,Control,N,0.53,0:32:00,15:42:00,16:14:00
11/01/2021,Fish,Foreshore,A23F,30C,J,1.02,1:01:00,32:06:00,33:07:00
11/01/2021,Fish,Scotts,A29S,Control,N,0.85,0:51:00,24:05:00,24:56:00
11/01/2021,Fish,Scotts,A38S,30C,I,1.42,1:25:00,6:04:00,7:29:00
11/01/2021,Fish,Scotts,A41S,25C,D,0.15,0:09:00,1:25:00,1:34:00
11/01/2021,Fish,Bluestone,A44B,25C,C,1.6,1:36:00,35:55:00,37:31:00
11/01/2021,Fish,Bluestone,A50B,30C,I,1.72,1:43:00,37:48:00,39:31:00
11/01/2021,Fish,Bluestone,A57B,Control,L,0.9,0:54:00,10:29:00,11:23:00
11/05/2021,Fish,Foreshore,A1F,30C,J,1.93,1:56:29,0:19:55,1:36:34
11/05/2021,Fish,Foreshore,A6F,25C,B,13.53,13:32:00,4:02:00,17:34:00
11/05/2021,Fish,Foreshore,A10F,Control,N,6,0:06:00,18:34:00,18:40:00
11/05/2021,Fish,Foreshore,A23F,30C,J,2.08,2:05:00,26:41:00,28:46:00
11/05/2021,Fish,Scotts,A29S,Control,N,38.02,0:38:01,0:04:00,0:42:01
11/05/2021,Fish,Scotts,A38S,30C,I,2.67,2:40:00,28:38:00,31:18:00
11/05/2021,Fish,Scotts,A41S,25C,D,9.37,9:22:00,5:42:00,15:04:00
11/05/2021,Fish,Bluestone,A44B,25C,C,1.08,1:05:00,9:40:00,10:45:00
11/05/2021,Fish,Bluestone,A50B,30C,I,0.22,0:13:00,29:22:00,29:35:00
11/05/2021,Fish,Bluestone,A57B,Control,L,0.93,0:56:00,20:28:00,21:24:00
11/09/2021,Fish,Foreshore,A1F,30C,J,1.3,1:18:00,32:50:00,34:08:00
11/09/2021,Fish,Foreshore,A6F,25C,B,14.83333333,14:50:00,4:14:00,19:04:00
11/09/2021,Fish,Foreshore,A10F,Control,N,2.966666667,2:58:00,8:15:00,11:13:00
11/09/2021,Fish,Foreshore,A23F,30C,J,5.333333333,5:20:00,31:32:00,36:52:00
11/09/2021,Fish,Scotts,A29S,Control,N,5.816666667,5:49:00,7:53:00,13:42:00
11/09/2021,Fish,Scotts,A38S,30C,I,0.266666667,0:16:00,29:28:00,29:44:00
11/09/2021,Fish,Scotts,A41S,25C,D,6.733333333,6:44:00,2:58:00,9:42:00
11/09/2021,Fish,Bluestone,A44B,25C,C,1.283333333,1:17:00,3:38:00,4:55:00
11/09/2021,Fish,Bluestone,A50B,30C,I,4.766666667,4:46:00,29:09:00,33:55:00
11/09/2021,Fish,Bluestone,A57B,Control,L,0.833333333,0:50:00,9:30:00,10:20:00
11/13/2021,Fish,Foreshore,A1F,30C,J,1,1:00:00,17:41:00,18:41:00
11/13/2021,Fish,Foreshore,A6F,25C,B,11.18333333,11:11:00,1:23:00,12:34:00
11/13/2021,Fish,Foreshore,A10F,Control,N,0.366666667,0:22:00,19:30:00,19:52:00
11/13/2021,Fish,Foreshore,A23F,30C,J,0.133333333,0:08:00,30:01:00,30:09:00
11/13/2021,Fish,Scotts,A29S,Control,N,0.583333333,0:35:00,5:16:00,5:51:00
11/13/2021,Fish,Scotts,A38S,30C,I,0.833333333,0:50:00,28:17:00,29:07:00
11/13/2021,Fish,Scotts,A41S,25C,D,1.4,1:24:00,2:37:00,4:01:00
11/13/2021,Fish,Bluestone,A44B,25C,C,0.933333333,0:56:00,2:08:00,3:04:00
11/13/2021,Fish,Bluestone,A50B,30C,I,0.266666667,0:16:00,27:34:00,27:50:00
11/13/2021,Fish,Bluestone,A57B,Control,L,0.05,0:03:00,4:31:00,4:34:00
11/13/2021,Fish,Foreshore,G4F,25C,D,1.45,1:27:00,11:51:00,13:18:00
